Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PSZ-AC:1:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:2:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:3:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:4:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:5:Air System Total Cooling Energy [J](TimeStep) 
 08/01  10:30:00,32.25,24.598448443397559,24.807402219364719,22.051893404683093,23.765147271870924,23.31783984557493,52.70500054579651,24.609999999999994,24.821000000000006,22.053000000000006,23.776000000000008,23.329,0.0,4971907.6924301,3618095.6095040899,3157641.1497505519,4704054.178532176,3250967.731819482 
 08/01  10:45:00,32.525,24.768675722524728,25.00340150305226,22.1249759027652,23.92875809987521,23.487897574615724,53.79787630968832,24.778999999999998,25.016000000000003,22.126000000000006,23.939000000000005,23.499,0.0,4974275.180602846,3658145.839098953,3109853.7161080299,4722761.897688589,3247583.948633735 
 08/01  11:00:00,32.8,24.875138150423209,25.1296085882388,22.16806155913434,24.03669768366425,23.60623099150315,54.67863122774694,24.884999999999996,25.142000000000004,22.169000000000005,24.047000000000005,23.618,0.0,5036112.514245873,3756414.162894463,3094426.0413343079,4802021.519100362,3285048.125941997 
 08/01  11:15:00,32.925,24.944612119952873,25.215576313134489,22.19328219645073,24.11091249408311,23.692390891435396,55.71971094487742,24.950999999999995,25.224000000000005,22.194000000000004,24.118000000000007,23.700999999999998,0.0,5167416.290505108,3890173.6553146729,3084074.9239133608,4915864.000931994,3344809.910294028 
 08/01  11:30:00,33.05,24.985575308942534,25.268208036071934,22.20733243446527,24.157476175796917,23.750233734796568,56.25875655342565,24.99199999999999,25.277000000000006,22.208,24.165000000000008,23.759999999999999,0.0,5235755.2267904379,3968810.4514407219,3050353.957789476,4974273.174158728,3369019.6773300759 
 08/01  11:45:00,33.175,25.01279436892054,25.304904545149605,22.21546981844401,24.18979563878819,23.79280015557932,57.01222023694615,25.01699999999999,25.311000000000005,22.216,24.195000000000005,23.799999999999998,0.0,5342188.26174114,4082828.294184335,3040808.053032341,5064083.3085156329,3417626.8864369106 
 08/01  12:00:00,33.3,25.02951962668676,25.329062724694464,22.220528794245248,24.21155735699614,23.822946161263155,57.60409248553278,25.031999999999994,25.333,22.221,24.215000000000008,23.827999999999997,0.0,5435812.036712086,4183843.896179286,3030286.1837564778,5140315.508653396,3458803.2244060637 
 08/01  12:15:00,33.574999999999999,25.039613033021355,25.34370500813051,22.22263161992203,24.224959329970298,23.843595568776239,58.22253668943422,25.040999999999995,25.346000000000005,22.223,24.227000000000005,23.846999999999995,0.0,5527556.861861965,4307248.013819044,3032965.099947117,5239650.423181692,3515988.1020138987 
 08/01  12:30:00,33.849999999999997,25.045328358195353,25.352672009323503,22.2236352197365,24.23286920505621,23.85771780582663,58.855940925376788,25.04599999999999,25.354000000000004,22.223999999999998,24.23400000000001,23.859999999999994,0.0,5604091.989470376,4416527.826196938,3034960.4514659319,5329558.780591456,3567267.9006139209 
 08/01  12:45:00,34.125,25.04784736357958,25.358242140877495,22.225551727665335,24.237418316058375,23.866611761314386,59.4861855758505,25.04799999999999,25.358999999999999,22.226,24.238000000000008,23.867999999999996,0.0,5667516.815382227,4515136.134594569,3035793.3581712099,5407757.37086637,3614342.1019350534 
