Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PSZ-AC:1:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:2:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:3:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:4:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:5:Air System Total Cooling Energy [J](TimeStep) 
 08/01  07:00:00,25.0,30.00002227019182,29.57111868398227,29.99975998116041,29.66735274828097,29.956908705260337,21.75274830907492,30.0,30.0,30.0,30.0,30.0,0.0,262278.53634883099,0.0,421755.10905761035,0.0,0.0 
 08/01  07:15:00,25.825,30.000012053524235,29.640979442493259,29.999766735194954,29.738940530298004,29.99386033708005,23.16089505432996,30.0,30.0,30.0,30.0,30.0,0.0,399775.0743099793,0.0,550426.9195859674,0.0,48967.63473302401 
 08/01  07:30:00,26.65,30.000004369445138,29.730633334770617,29.999779430443355,29.82880720714783,29.999969461026664,24.843803688046785,29.999999999999994,29.999999999999994,29.999999999999994,29.999999999999994,29.999999999999994,0.0,533860.244811735,0.0,698905.0590405257,0.0,136333.97278942349 
 08/01  07:45:00,27.475,29.999998701745036,29.84175279898497,29.999824426841056,29.93869787472922,30.00000727495422,26.992931070943074,29.999999999999966,29.999999999999966,29.999999999999966,29.999999999999966,29.999999999999966,0.0,661248.60910977,0.0,825555.1533828678,33406.9751722018,216150.5161458363 
 08/01  08:00:00,28.3,29.999999445268153,29.956731672302156,29.999846609325528,29.993591982790237,30.00000863562751,29.36237222808204,30.0,30.0,30.0,30.0,30.0,0.0,788008.1913074617,71693.64498062487,951673.5748947759,217175.2199661575,291120.2238333651 
 08/01  08:15:00,28.725,29.999996501141454,29.999919288710744,29.99985112939433,29.999988670635625,30.000006968433156,32.581797502810299,30.0,30.0,30.0,30.0,30.0,0.0,857624.4122902522,274110.4386245961,1064068.642328618,372446.1995900446,335341.62163627918 
 08/01  08:30:00,29.15,29.99999307202341,30.000000238558646,29.99985905616213,29.999996545999843,30.000004814943766,35.31385102455968,30.0,30.0,30.0,30.0,30.0,0.0,928917.0284636179,388320.1462979442,1168783.8636364206,469460.1011956085,378931.09346350727 
 08/01  08:45:00,29.575,29.99998536823377,29.999993681680157,29.999842405906596,29.999989312584007,30.00000013957358,37.54468259011051,29.99999999999997,29.99999999999997,29.99999999999997,29.99999999999997,29.99999999999997,0.0,1003220.9786506159,487712.18749488177,1255369.870719746,550909.3353930018,428309.2860995146 
 08/01  09:00:00,30.0,29.999979801081254,29.99998832435454,29.999859310524085,29.999982639921574,29.999994439929649,39.98556268652483,30.0,30.0,30.0,30.0,30.0,0.0,1077979.1585291455,561827.5975315032,1329403.895613606,633172.0775310864,478433.8168641512 
 08/01  09:15:00,30.425,29.99997366622609,29.99998011857611,29.999871165347189,29.999974950282419,29.999989155625859,43.02494897479337,30.0,30.0,30.0,30.0,30.0,0.0,1146732.8763999134,651163.520300192,1387114.4357444146,712094.0086281236,525604.5405178935 
 08/01  09:30:00,30.85,29.999912970042027,29.99996249722318,29.999854887967869,29.999955446699685,29.999976524480965,45.065829110557867,30.00000000000002,30.00000000000002,30.00000000000002,30.00000000000002,30.00000000000002,0.0,1419156.9003797202,738992.7568201018,1435024.765335033,798775.0287715056,571394.2805444317 
 08/01  09:45:00,31.275,29.999810555054237,29.999952499505807,29.99986971697807,29.99994491751059,29.999969686887864,47.80042446285161,29.999999999999966,29.999999999999966,29.999999999999966,29.999999999999966,29.999999999999966,0.0,1904624.9330366653,814896.4319848423,1438054.0137767713,875516.7384258595,617057.8926865264 
 08/01  10:00:00,31.7,29.999769795576169,29.99992500455126,29.999853913763134,29.999914404483787,29.99994803313774,49.63137250792363,30.0,30.0,30.0,30.0,30.0,0.0,1945665.7271984569,890280.0230442248,1424124.129065761,952938.7199002352,664321.4762368555 
 08/01  10:15:00,31.974999999999999,29.99977082998276,29.99991626536715,29.999881429916294,29.999906124363397,29.999945645473159,51.422417888745247,29.999999999999998,29.999999999999998,29.999999999999998,29.999999999999998,29.999999999999998,0.0,2006940.4668453709,986521.2245238619,1406383.0292100893,1044000.3925382464,720126.8757800046 
 08/01  10:30:00,32.25,29.99977196507359,29.999906129257228,29.99990684864517,29.99989694808449,29.99994344299653,52.85296116513654,30.000000000000005,30.000000000000005,30.000000000000005,30.000000000000005,30.000000000000005,0.0,2068625.9634453559,1083203.1145504043,1389223.2802208805,1134580.0279104093,776298.9784351343 
 08/01  10:45:00,32.525,29.99977304564017,29.999891302246636,29.99993096508141,29.99988406210216,29.999939976764489,53.96907044566767,30.0,30.0,30.0,30.0,30.0,0.0,2129935.3484770965,1184951.9883371425,1364353.793822139,1228480.8905796917,834890.8904564394 
